Timestamp,close,high,low,open,volume
1401219786,563.5200,563.5300,563.4300,563.5300,1900
1401219841,563.7800,563.7800,563.6000,563.6000,3400
1401219902,563.8300,563.9000,563.7400,563.9000,7000
1401219960,563.9600,564.0000,563.7500,563.7999,16900
1401220026,564.1600,564.2400,563.8900,563.9800,11900
1401220080,564.3700,564.4000,564.2350,564.2500,6000
1401220198,564.5900,564.7000,564.3500,564.3500,10400
1401220200,564.9900,565.0000,564.6800,564.7400,24700
1401220260,565.0000,565.0000,564.8960,565.0000,13500
1401220320,565.1000,565.1000,564.9600,565.0000,12800
1401220381,565.1400,565.2400,565.0500,565.1000,11400
1401220440,565.2110,565.3500,565.1300,565.1600,15600
1401220501,565.3600,565.4200,565.2200,565.2200,11800
1401220560,565.4300,565.4800,565.3000,565.3850,14300
1401220620,565.3050,565.4600,565.2000,565.4000,14700
1401220680,565.1101,565.3100,565.1000,565.3100,23200
1401220740,565.9400,566.0000,565.0800,565.2300,55600
1401220800,565.9500,565.9500,565.9500,565.9500,126000
